File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Code\fs_project\count line copy\db element\src\client.js,"function(methods, serviceName, class_options)",46,40,31,7,5,0,1,7,
C:\Code\fs_project\count line copy\db element\src\client.js,function(client),2,2,2,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client.js,function(client),8,8,7,3,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client.js,"function(client, deadline, callback)",2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"InterceptorConfigurationError(message, extra)",5,5,5,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,StatusBuilder(),4,4,4,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(code),3,3,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(details),3,3,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(metadata),3,3,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(),12,12,10,4,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,ListenerBuilder(),4,4,4,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(on_receive_metadata),3,3,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(on_receive_message),3,3,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(on_receive_status),3,3,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(),7,7,8,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,RequesterBuilder(),5,5,5,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(start),3,3,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(send_message),3,3,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(half_close),3,3,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(cancel),3,3,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(),7,7,8,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"function(providers, method_definition)",13,13,10,5,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"InterceptingCall(next_call, requester)",3,3,3,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(),1,1,1,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(method_name),4,4,2,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"function(method_name, args, next)",21,20,13,7,0,0,1,5,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"function(metadata, listener)",18,10,9,1,2,0,6,61,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(message),2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(),2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(),2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"function(code, details)",2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(),2,2,2,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"function(context, message)",5,5,3,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(context),2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"InterceptingListener(next_listener, delegate)",3,3,4,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(method_name),4,4,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"function(method_name, args, next)",18,17,11,6,0,0,1,5,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(metadata),2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(message),2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"function(context, message)",10,10,7,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(status),2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,EndListener(),1,1,1,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(),1,1,1,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(),1,1,1,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(),1,1,1,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,function(),1,1,1,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"getCall(channel, path, options)",22,22,18,4,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_getStreamReadCallback(emitter, call, get_listener, deserialize)",31,30,24,3,0,0,1,10,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_areBatchRequirementsMet(batch_ops, completed_ops)",12,12,9,5,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_startBatchIfReady(call, batch, batch_state, callback)",28,25,19,5,0,0,3,24,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_getUnaryInterceptor(method_definition, channel, emitter, callback)",77,74,59,5,0,0,3,29,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_getClientStreamingInterceptor(method_definition, channel, emitter, callback)",104,92,79,7,0,0,12,134,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_getServerStreamingInterceptor(method_definition, channel, emitter)",88,84,68,8,0,0,4,32,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_getBidiStreamingInterceptor(method_definition, channel, emitter)",99,90,76,8,0,0,9,105,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_getUnaryListener(method_definition, emitter, callback)",19,19,15,2,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_getClientStreamingListener(method_definition, emitter, callback)",19,19,15,2,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_getServerStreamingListener(method_definition, emitter)",25,25,20,3,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_getBidiStreamingListener(method_definition, emitter)",25,25,20,3,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"getLastListener(method_definition, emitter, callback)",15,15,13,4,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"getInterceptingCall(method_definition, options, interceptors, channel, responder)",5,5,4,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_getLastInterceptor(method_definition, channel, responder)",7,7,7,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_buildChain(interceptors, options)",13,13,13,5,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,"_getInterceptingListener(current_listener, next_listener)",5,5,4,3,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,_isInterceptingListener(listener),2,2,2,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\common.js,wrapIgnoreNull(func),10,10,8,6,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\common.js,"log(severity, message)",4,4,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\common.js,function(status),13,13,16,2,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\common.js,function(method_definition),14,14,11,7,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\common.js,"function(collection, handler)",3,3,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\common.js,"function(props, values)",4,4,6,2,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\common.js,function(key),2,2,2,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\credentials.js,wrapCheckServerIdentityCallback(callback),20,15,13,6,2,0,3,13,
C:\Code\fs_project\count line copy\db element\src\credentials.js,"function(root_certs, private_key, cert_chain, verify_options)",16,11,9,3,0,0,5,51,
C:\Code\fs_project\count line copy\db element\src\credentials.js,function(metadata_generator),20,20,17,4,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\credentials.js,"getAuthorizationHeaderFromGoogleCredential(google_credential, url, callback)",21,19,15,2,0,0,2,14,
C:\Code\fs_project\count line copy\db element\src\credentials.js,function(google_credential),15,15,13,2,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\credentials.js,function(channel_credential),6,6,5,2,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\credentials.js,function(),6,6,5,2,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\metadata.js,Metadata(options),3,3,4,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\metadata.js,normalizeKey(key),7,7,6,2,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\metadata.js,"validate(key, value)",15,15,9,4,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\metadata.js,"function(key, value)",4,4,4,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\metadata.js,"function(key, value)",7,7,6,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\metadata.js,function(key),5,5,4,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\metadata.js,function(key),7,7,6,3,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\metadata.js,function(),9,9,9,2,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\metadata.js,function(),8,8,8,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\metadata.js,function(options),20,20,14,6,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\metadata.js,function(),5,5,3,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\metadata.js,function(metadata),16,16,11,3,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\protobuf_js_5_common.js,"deserializeCls(cls, options)",12,5,4,2,0,0,7,42,
C:\Code\fs_project\count line copy\db element\src\protobuf_js_5_common.js,serializeCls(Cls),9,4,4,2,0,0,5,23,
C:\Code\fs_project\count line copy\db element\src\protobuf_js_5_common.js,fullyQualifiedName(value),10,10,8,4,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\protobuf_js_5_common.js,"getProtobufServiceAttrs(service, options)",29,25,12,4,0,0,4,31,
C:\Code\fs_project\count line copy\db element\src\protobuf_js_5_common.js,"loadObject(value, options)",22,22,19,9,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\protobuf_js_5_common.js,isProbablyProtobufJs5(obj),2,2,2,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\protobuf_js_6_common.js,"deserializeCls(cls, options)",16,11,6,2,0,0,5,24,
C:\Code\fs_project\count line copy\db element\src\protobuf_js_6_common.js,serializeCls(cls),10,5,5,2,0,0,5,23,
C:\Code\fs_project\count line copy\db element\src\protobuf_js_6_common.js,fullyQualifiedName(value),10,10,8,4,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\protobuf_js_6_common.js,"getProtobufServiceAttrs(service, options)",19,19,9,3,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\protobuf_js_6_common.js,"loadObject(value, options)",24,19,16,8,2,0,3,18,
C:\Code\fs_project\count line copy\db element\src\protobuf_js_6_common.js,isProbablyProtobufJs6(obj),2,2,2,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\server.js,"handleError(call, error)",26,26,20,5,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\server.js,"sendUnaryResponse(call, value, serialize, metadata, flags)",29,29,25,2,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\server.js,"setUpWritable(stream, serialize)",70,51,40,7,1,0,18,113,
C:\Code\fs_project\count line copy\db element\src\server.js,"setUpReadable(stream, deserialize)",13,11,12,0,2,0,0,0,
C:\Code\fs_project\count line copy\db element\src\server.js,"ServerUnaryCall(call, metadata)",18,6,6,0,0,0,12,40,
C:\Code\fs_project\count line copy\db element\src\server.js,"ServerWritableStream(call, metadata, serialize)",21,8,9,0,1,0,12,40,
C:\Code\fs_project\count line copy\db element\src\server.js,"_write(chunk, encoding, callback)",31,28,24,3,0,0,3,29,
C:\Code\fs_project\count line copy\db element\src\server.js,"ServerReadableStream(call, metadata, deserialize)",14,6,7,0,0,0,8,27,
C:\Code\fs_project\count line copy\db element\src\server.js,_read(size),45,39,34,5,0,0,6,38,
C:\Code\fs_project\count line copy\db element\src\server.js,"ServerDuplexStream(call, metadata, serialize, deserialize)",15,7,8,0,0,0,8,27,
C:\Code\fs_project\count line copy\db element\src\server.js,sendMetadata(responseMetadata),15,14,12,2,0,0,1,4,
C:\Code\fs_project\count line copy\db element\src\server.js,getPeer(),3,2,2,1,0,0,1,4,
C:\Code\fs_project\count line copy\db element\src\server.js,waitForCancel(),14,13,12,2,0,0,1,4,
C:\Code\fs_project\count line copy\db element\src\server.js,"handleUnary(call, handler, metadata)",35,35,31,4,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\server.js,"handleServerStreaming(call, handler, metadata)",20,20,19,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\server.js,"handleClientStreaming(call, handler, metadata)",17,17,15,2,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\server.js,"handleBidiStreaming(call, handler, metadata)",5,5,4,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\server.js,Server(options),5,5,6,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\server.js,function(),45,38,31,4,0,0,7,45,
C:\Code\fs_project\count line copy\db element\src\server.js,"function(name, handler, serialize, deserialize, type)",11,11,6,3,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\server.js,function(callback),2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\server.js,function(),2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\server.js,isObject(thing),2,2,2,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\server.js,"function(service, implementation)",51,48,36,9,0,0,3,26,
C:\Code\fs_project\count line copy\db element\src\server.js,"function(port, creds, callback)",10,7,5,1,0,0,3,28,
