Word,Count
_commentTextEditController.dispose();,1
열,1
행,1
by,1
표시,1
다른,1
대기할,1
OutlineInputBorder(,1
크게,1
(value!.trim().isEmpty),1
to,1
\삭제할까요?',\,1
'../models/comment.dart';,1
굵기,1
출력:,1
validator:,1
\못했습니다."\,\,1
경로,1
postList.addAll(feedList);,1
줄이기,1
ListTile(,1
build(BuildContext,1
filterString,1
-,1
\Alignment.bottomCenter,\,1
기존코드,1
Log,1
\TextOverflow.ellipsis,\,1
noti.Notification(,1
씌울,1
\"\새로운\,1
\.format(post.datetime!)),\,1
\Navigator.of(context).pushNamed(EditPostScreen.routeName,\,1
\FontWeight.bold),\,1
Provider.of<Comments>(context).items;,1
원하는,1
postId),1
가운데,1
_commentTextEditController.text;,1
'package:provider/provider.dart';,1
Stack(children:,1
\175,\,1
createState(),1
\'확인',\,1
Parse,1
시간,1
_formKey,1
'../models/post.dart';,1
'../providers/posts.dart';,1
\Icon(Icons.delete),\,1
표시하는,1
spacing,1
visibility,1
대기,1
AppBar(,1
',1
\Alignment.topLeft,\,1
\Text('삭제'),\,1
ModalRoute.of(context)!.settings.arguments,1
ScaffoldMessenger.of(context),1
\_myStory(),\,1
\Colors.yellowAccent,\,1
filled:,1
'게시글을,1
chatting-test-863cb-default-rtdb.asia-southeast1.firebasedatabase.app/comments/$id.json?auth=$authToken');,1
\1.4,\,1
.deletePost(id);,1
크기,1
contents),1
key}),1
));,1
isDense:,1
RefreshIndicator(,1
그라데이션을,1
2라면,1
BorderSide(,1
길이가,1
Toggle,1
widgets,1
GlobalKey<FormState>();,1
commentText);,1
providing,1
arguments,1
'https://chatting-test-863cb-default-rtdb.asia-southeast1.firebasedatabase.app/notifications.json?auth=$authToken&$filterString');,1
leading:,1
fit:,1
StatefulWidget,1
.addNotification(notification);,1
textScaleFactor:,1
Navigator.of(ctx).pop(true);,1
CircularProgressIndicator(),1
Divider(,1
_loadFeedList(),1
prefs.remove('userData');,1
2열로,1
loadFeedList(),1
(value),1
\Icon(Icons.edit),\,1
\1).withOpacity(0.9),\,1
한,1
